,movie_title,director_name,Cast and crew,genres,actor_1_name,actor_2_name,actor_3_name
0,1921,Vikram Bhatt,Zareen  Khan Karan  Kundra Tobby  Hinston Sonia  Armstrong,"Horror, Mystery, Romance",Zareen  Khan,Karan  Kundra, Tobby  Hinston
1,Kaalakaandi,Akshat Verma, Shenaz  Treasury Akshay  Oberoi Vijay  Raaz Deepak  Dobriyal Sobhita  Dhulipala Kunaal  Roy  Kapur Nary  Singh,"Comedy, Thriller",Saif  Ali  Khan,Isha  Talwar,Akshay  Oberoi
2,Mukkabaaz,Anurag Kashyap,Vineet  Kumar  Singh Zoya  Hussain Ravi  Kishan Jimmy  Sheirgill,"Romance, Drama",Vineet  Kumar  Singh,Zoya  Hussain,Jimmy  Sheirgill
3,Phir Se...,Kunal Kohli,Jennifer  Winget Kunal  Kohli Rajit  Kapur,Romance,Jennifer  Winget,Kunal  Kohli,Rajit  Kapur
4,My Birthday Song,Samir Soni,Sanjay  Suri Nora  Fatehi Pitobash,Thriller,Sanjay  Suri,Nora  Fatehi,Pitobash
5,Vodka Diaries,Kushal Srivastava,Kay  Kay  Menon Mandira  Bedi Raima  Sen Sharib  Hashmi,"Mystery, Thriller",Kay  Kay  Menon,Mandira  Bedi,Raima  Sen
6,Nirdosh,Pradeep Rangwani,Arbaaz  Khan Manjari  Fadnis Ashmit  Patel Mukul  Dev Mahek  Chahal,"Drama, Mystery, Thriller",Arbaaz  Khan,Manjari  Fadnis,Ashmit Patel
7,Union Leader,Sanjay Patel,Rahul  Bhat Tillotama  Shome,Drama,Rahul Bhat,Tilotoma Shome,
8,Padmaavat,Sanjay Leela Bhansali,Shahid  Kapoor Deepika  Padukone Ranveer  Singh Aditi  Rao  Hydari,"Drama, History, Romance, War",Ranveer Singh,Deepika Padukone,Shahid Kapoor
9,Pad Man,R. Balki,Akshay  Kumar Sonam  Kapoor Radhika  Apte,"Comedy, Drama",Akshay Kumar,Radhika Apte,Sonam Kapoor
10,Love per Square Foot,Anand Tiwari,Vicky  Kaushal Angira  Dhar Alankrita  Sahai Raghubir  Yadav,"Comedy, Romance",Vicky Kaushal,Angira Dhar,Alankrita Sahai
11,Aiyaary,Neeraj Pandey,Sidharth  Malhotra Manoj  Bajpayee Rakul  Preet  Singh Pooja  Chopra Anupam  Kher Naseeruddin  Shah,Thriller,Sidharth Malhotra,Manoj Bajpayee,Rakul Preet Singh
12,Kuchh Bheege Alfaaz,Onir,Zain  Khan  Durrani Geetanjali  Thapa,Romance,Zain Khan,Geetanjali Thapa,
13,Jaane Kyun De Yaaron,Akshay Anand,Raghu  Raja Abhishek  Sharma Kabir  Bedi Chetna  Pande Viju  Khote,Drama,Raghu Raja,Abhishek Sharma,Kabir Bedi
14,Sonu Ke Titu Ki Sweety,Luv Ranjan,Kartik  Aaryan Nushrat  Bharucha Sunny  Nijar,"Comedy, Romance",Kartik Aryan,Nushrat Barucha,Sunny Singh
15,Pari,Prosit Roy,Anushka  Sharma Parambrata  Chatterjee Rajat  Kapoor Ritabhari  Chakraborty Mansi  Multani,"Fantasy, Horror, Mystery",Anushka Sharma,Parambrata  Chatterjee,Rajat  Kapoor
16,Veerey Ki Wedding,Ashu Trikha,Pulkit  Samrat Jimmy  Sheirgill Kriti  Kharbanda Satish  Kaushik Yuvika  Chaudhary Supriya  Karnik,"Comedy, Romance",Pulkit  Samrat,Jimmy  Sheirgill,Kriti  Kharbanda
17,Hate Story IV,Vishal Pandya,Urvashi  Rautela Vivan  Bhatena Karan  Wahi Ihana  Dhillon Gulshan  Grover Tia  Bajpai Shaad  Randhawa,"Crime, Drama, Thriller",Urvashi  Rautela,Vivan  Bhatena,Karan  Wahi
18,Dil Juunglee,Aleya Sen,Saqib  Saleem Tapsee  Pannu Abhilash  Thapleyal Nidhi  Singh Srishti  Srivastava Ayesha  Khaduskar,"Comedy, Romance",Saqib Saleem,Taapsee Pannu,Nidhi Singh
19,3 Storeys,Arjun Mukerjee,Richa  Chaddha Pulkit  Samrat Sharman  Joshi Renuka  Shahane Masumeh  Makhija Laksh  Singh Aisha  Ahmed Ankit  Rathi,Drama,Pulkit  Samrat,Richa Chadha,Samrat Sharma
20,Raid,Raj Kumar Gupta,Ajay  Devgn Ileana  D' Cruz Saurabh  Shukla,"Action, Crime, Drama, Thriller",Ajay Devgn,Saurabh Shukla,Illeana D'Cruz
21,Hichki,Siddharth P Malhotra,Rani  Mukerji,"Comedy, Drama",Rani Mukherjee,Neeraj Kabi,
22,Shaadi Teri Bajayenge Hum Band,Gurpreet Sondh,Rajpal  Yadav Mushtaq  Khan Rahul  Bagga Rohit  Kumar Dilbagh  Singh Naresh  Gosain Afreen  Alvi Radha  Bhatt,Comedy,Rajpal  Yadav,Mushtaq  Khan,Rahul  Bagga
23,Baaghi 2,Ahmed Khan,Tiger  Shroff Disha  Patani Manoj  Bajpayee Randeep  Hooda Prateik  Babbar,"Action, Drama, Thriller",Tiger Shroff,Manoj Bajpayee,Disha Patani
24,Blackmail,Abhinay Deo,Irrfan  Khan Kirti  Kulhari Arunoday  Singh Divya  Dutta Omi  Vaidya,"Crime, Thriller",Irrfan Khan,Kriti Kulhari,Arunoday Singh
25,Missing,Mukul Abhyankar,Tabu Manoj  Bajpayee Annu  Kapoor,"Biography, Drama, History, Mystery, Thriller",Tabu ,Manoj Bajpayee,Annu Kapoor
