,movie_title,director_name,Cast and crew,genres,actor_1_name,actor_2_name,actor_3_name
26,October,Shoojit Sircar,Varun  Dhawan Banita  Sandhu Gitanjali  Rao,"Drama, Romance",Varun Dhawan,Banita Sandhu,Gitanjali Rao
27,Mercury,Karthik Subbaraj,Prabhu  Deva Sananth  Reddy Remya  Nambeesan,"Horror, Thriller",Prabhu  Deva,Sananth  Reddy,Remya  Nambeesan
28,Zoo,Shlok Sharma,Shweta  Tripathi Shashank  Arora Rahul  Kumar,"Drama, Mystery, Sci-Fi, Thriller",Shweta  Tripathi,Shashank  Arora,Rahul  Kumar
29,Beyond the Clouds,Majid Majidi,Ishaan  Khatter Malavika  Mohanan,"Drama, Romance",Ishaan  Khatter,Malavika  Mohanan,
30,Nanu Ki Jaanu,Faraz Haider,Patralekhaa Abhay  Deol Sapna  Chaudhary,"Comedy, Drama, Horror",Patralekhaa,Abhay  Deol, Sapna  Chaudhary
31,Daas Dev,Sudhir Mishra,Richa  Chaddha Aditi  Rao  Hydari Rahul  Bhat Saurabh  Shukla Vipin  Sharma Vineet  Kumar  Singh Dalip  Tahil Anurag  Kashyap,"Drama, Thriller",Rahul Bhat,Richa Chadha,Aditi Rao Hydari
32,Meri Nimmo,M.M Shanklya,Anjali  Patil Karan  Dave,Drama,Anjali Patel,Karan Dave,
33,102 Not Out,Umesh Shukla,Amitabh  Bachchan Rishi  Kapoor,"Comedy, Drama",Amitabh Bachchan ,Rishi Kapoor,
34,Omerta,Hansal Mehta,Rajkummar  Rao,"Action, Biography, Crime, Drama",Rajkummar Rao,,
35,Raazi,Meghna Gulzar,Vicky  Kaushal Alia  Bhatt,"Action, Drama, Thriller",Vicky Kaushal,Alia Bhatt,Jaideep Ahlawat
36,Hope Aur Hum,Sudip Bandyopadhyay,Naseeruddin  Shah Sonali  Kulkarni Aamir  Bashir,"Comedy, Drama, Family",Naseeruddin  Shah,Sonali  Kulkarni, Aamir  Bashir
37,Falooda,Dhiraj Singh,Aarav  Negi Goonj  Chand Azhar Pihu  Sharma Dhiraj  Singh,N/A,Aarav  Negi,Goonj  Chand Azhar, Pihu  Sharma
38,High Jack,Akash Khurana,Sumeet  Vyas Sonnalli  Seygall Mantra Taaruk  Raina Priyanshu  Painyuli Kumud  Mishra Natasha  Rastogi,Comedy,Sumeet  Vyas ,Sonnalli  Seygall, Mantra Taaruk
39,Khajoor Pe Atke,Harsh Chhaya,Vinay  Pathak Manoj  Pahwa Seema  Pahwa Dolly  Ahluwalia Sabah  Kapoor,Comedy,Vinay  Pathak,Manoj  Pahwa,Seema  Pahwa
40,Parmanu: The Story Of Pokhran,Abhishek Sharma,John  Abraham Diana  Penty Boman  Irani,"Action, Drama, History",John  Abraham,Diana  Penty,Boman  Irani
41,Bioscopewala,Deb Medhekar,Danny  Denzongpa Geetanjali  Thapa Tisca  Chopra Adil  Hussain,Drama,Danny  Denzongpa,Geetanjali  Thapa,Adil  Hussain
42,Veere Di Wedding,Shashanka Ghosh,Kareena  Kapoor Sonam  Kapoor Swara  Bhaskar Shikha  Talsania Sumeet  Vyas,Comedy,Kareena  Kapoor, Sonam  Kapoor, Swara  Bhaskar
43,Bhavesh Joshi Superhero,Vikramaditya Motwane,Harshvardhan  Kapoor Priyanshu  Painyuli Nishikant  Kamat,"Action, Drama",Harshvardhan  Kapoor,Priyanshu  Painyuli,Nishikant  Kamat
44,Phamous,Karan Lalit Butani,Jackie  Shroff Jimmy  Sheirgill Kay  Kay  Menon Shriya  Saran Mahie  Gill Pankaj  Tripathi,"Comedy, Crime, Drama, Romance",Jackie  Shroff,Jimmy  Sheirgill,Kay  Kay  Menon
45,Race 3,Remo D'Souza,Salman  Khan Anil  Kapoor Bobby  Deol Jacqueline  Fernandez Saqib  Saleem Daisy  Shah Freddy  Daruwala,"Action, Crime, Thriller",Salman Khan,Anil Kapoor,Bobby Deol
46,Lust Stories,Anurag KashyapKaran JoharZoya AkhtarDibakar Banerjee,Radhika  Apte Sanjay  Kapoor Kiara  Advani Vicky  Kaushal Neha  Dhupia Neil  Bhoopalam Bhumi  Pednekar Manisha  Koirala Akash  Thosar,"Drama, Romance",Radhika Apte,Kiara Advani,Bhumi Pednekar
47,Sanju,Rajkumar Hirani,Ranbir  Kapoor Vicky  Kaushal Sonam  Kapoor Dia  Mirza Paresh  Rawal Manisha  Koirala Anushka  Sharma,"Biography, Comedy, Drama",Ranbir Kapoor,Vicky Kaushal,Paresh Rawal
48,Hanuman vs Mahiravana,Ezhil Vendan,,Animation,,,
49,Soorma,Shaad Ali,Diljit  Dosanjh Taapsee  Pannu Angad  Bedi,"Biography, Drama, Sport",Diljit Dosanjh ,Taapsee Pannu,Angad Bedi
50,When Obama Loved Osama,Sudhish Kumar Sharma,Mousam  Sharma Swati  Bakshi Rahul  Avana Mohit  Baghel Heena  Panchal Hemant  Pandey Vikas  Giri,Comedy,Mousam  Sharma,Swati  Bakshi,Rahul  Avana
51,Dhadak,Shashank Khaitan,Ishaan  Khatter  Jhanvi  Kapoor,"Drama, Romance",Ishaan  Khatter, Jhanvi  Kapoor,
52,"Saheb, Biwi Aur Gangster 3",Tigmanshu Dhulia,Sanjay  Dutt Jimmy  Sheirgill Mahi  Gill Chitrangada  Singh,"Action, Crime, Drama, Thriller",Sanjay Dutt,Jimmy  Sheirgill,Mahi Gill
53,Nawabzaade,Jayesh Pradhan,Raghav  Juyal Punit  Pathak Dharmesh  Yelande Isha  Rikhi,Comedy,Raghav  Juyal,Punit  Pathak,Dharmesh  Yelande
54,Fanney Khan,Atul Manjrekar,Anil  Kapoor Aishwarya  Rai  Bachchan Rajkummar  Rao Karan  Singh  Chhabra Divya  Dutta,"Comedy, Drama, Music",Anil  Kapoor,Aishwarya  Rai  Bachchan,Rajkummar  Rao
55,Mulk,Anubhav Sinha,Rishi  Kapoor Prateik  Babbar Rajat  Kapoor Taapsee  Pannu Ashutosh  Rana Manoj  Pahwa Neena  Gupta,Drama,Rishi  Kapoor,Taapsee Pannu,Manoj Pahwa
56,Brij Mohan Amar Rahe!,Nikhil Bhatt,Arjun  Mathur Nidhi  Singh Vijayant  Kohli Sunny  Hinduja,"Comedy, Drama",Arjun  Mathur, Nidhi  Singh,Vijayant  Kohli
57,Laxmi and Tikli Bomb,Aditya Kripalani,Vibhawari  Deshpande Suchitra  Pillai Chitraganda  Chakraborty Upendra  Limaye,Drama,Vibhawari  Deshpande, Suchitra  Pillai,Chitraganda  Chakraborty
58,Karwaan,Akarsh Khurana,Irrfan  Khan Dulquer  Salman Mithila  Palkar Kriti  Kharbanda,"Comedy, Drama",Irrfan Khan,Dulquer Salman,Mithila Palkar
59,Gold,Reema Kagti,Akshay  Kumar Kunal  Kapoor Mouni  Roy Amit  Sadh,"Crime, Drama",Akshay  Kumar,Kunal  Kapoor,Amit  Sadh
60,Satyameva Jayate,Milap Zaveri,John  Abraham Manoj  Bajpayee Aisha  Sharma Amruta  Khanvilkar,"Action, Crime, Drama, Thriller",John  Abraham,Manoj Bajpayee,Aisha Sharma
61,Genius,Anil Sharma,Utkarsh  Sharma Ishita  Chauhan Nawazuddin  Siddiqui Ayesha  Jhulka,"Biography, Drama",Utkarsh  Sharma,Ishita  Chauhan,Nawazuddin  Siddiqui
62,Happy Phirr Bhag Jayegi,Mudassar Aziz,Sonakshi  Sinha Diana  Penty Ali  Fazal Jimmy  Shergill Jassi  Gill,Comedy,Sonakshi  Sinha,Diana  Penty,Ali  Fazal
63,Toba Tek Singh,Ketan Mehta,Pankaj  Kapur Vinay  Pathak,"Short, Drama, History",Pankaj  Kapur,Vinay  Pathak,
64,Yamla Pagla Deewana: Phir Se,Navaniat Singh,Dharmendra Sunny  Deol Bobby  Deol Kriti  Kharbanda,Comedy, Dharmendra,Sunny  Deol,Bobby  Deol
65,Stree,Amar Kaushik,Rajkummar  Rao Shraddha  Kapoor Aparshakti  Khurana Pankaj  Tripathi,"Comedy, Horror",Rajkummar  Rao,Shraddha  Kapoor,Aparshakti  Khurana
66,Once Again,Kanwal Sethi,Shefali  Shah Neeraj  Kabi,"Drama, Romance",Shefali  Shah,Neeraj Kabi,
67,Paltan,J. P. Dutta,Jackie  Shroff Sonu  Sood Arjun  Rampal Gurmeet  Choudhary Siddhanth  Kapoor Harshvardhan  Rane Luv  Sinha Esha  Gupta Monica  Gill Sonal  Chauhan Dipika  Kakar Aditii  Arya  Sharma,"Action, Drama, History, War",Jackie  Shroff,Sonu  Sood, Arjun  Rampal
68,Laila Majnu,Sajid Ali,Mir  Sarwar Avinash  Tiwary Tripti  Dimri Ruchika  Kapoor,"Drama, Romance",Mir  Sarwar,Avinash  Tiwary,Tripti  Dimri
69,Gali Guleiyan,Dipesh Jain,Manoj  Bajpayee Ranvir  Shorey Neeraj  Kabi Shahana  Goswami,Drama,Manoj  Bajpayee,Ranvir  Shorey,Neeraj  Kabi
70,Halkaa,Nila Madhab Panda,Ranvir  Shorey Paoli  Dam Tathastu Kumud  Mishra,"Drama, Family",Ranvir  Shorey,Paoli  Dam,Kumud  Mishra
71,Manmarziyaan,Anurag Kashyap,Abhishek  Bachchan Vicky  Kaushal Taapsee  Pannu,Romance,Abhishek  Bachchan,Vicky  Kaushal,Taapsee  Pannu
72,Love Sonia,Tabrez Noorani,Mrunal  Thakur Freida  Pinto Manoj  Bajpayee Rajkummar  Rao Richa  Chadda Anupam  Kher Adil  Hussain Sai  Tamhankar,Drama,Mrunal  Thakur,Freida  Pinto,Manoj  Bajpayee
73,Mitron,Nitin Kakar,Jackky  Bhagnani Kritika  Kamra Pratik  Gandhi Neeraj  Sood,Comedy,Jackky  Bhagnani,Kritika  Kamra,Pratik  Gandhi
75,Batti Gul Meter Chalu,Shree Narayan Singh,Shahid  Kapoor Shraddha  Kapoor Divyendu  Sharma Yami  Gautam,Drama,Shahid  Kapoor,Shraddha  Kapoor,Divyendu  Sharma
76,Manto,Nandita Das,Nawazuddin  Siddiqui Tahir  Raj  Bhasin Rasika  Dugal Rajshri  Deshpande,"Biography, Drama",Nawazuddin  Siddiqui,Tahir  Raj  Bhasin,Rasika  Dugal
77,Ishqeria,Prerna Wadhawan,Neil  Nitin  Mukesh Richa  Chaddha,"Comedy, Romance",Neil  Nitin  Mukesh,Richa Chadha,
78,Sui Dhaaga,Sharat Katariya,Varun  Dhawan Anushka  Sharma,Drama,Varun  Dhawan,Anushka  Sharma,
79,Pataakha,Vishal Bhardwaj,Sanya  Malhotra Sunil  Grover Radhika  Madan,"Comedy, Drama",Sanya  Malhotra,Sunil  Grover,Radhika  Madan
80,Loveyatri,Abhiraj Minawala,Aayush  Sharma Warina  Hussain,"Short, Music",Aayush  Sharma,Warina  Hussain,Ram Kapoor
81,Andhadhun,Sriram Raghavan,Ayushman  Khurana Tabu Radhika  Apte,"Crime, Drama, Music, Mystery, Thriller",Ayushman  Khurana,Tabu,Radhika  Apte
82,Jalebi,Pushpdeep Bhardwaj,Rhea  Chakraborty Digangana  Suryavanshi Varun  Mitra,"Drama, Romance",Rhea  Chakraborty,Digangana  Suryavanshi,Varun  Mitra
83,Helicopter Eela,Pradeep Sarkar,Kajol Riddhi  Sen Neha  Dhupia Tota  Roy  Choudhury,Drama,Kajol,Riddhi  Sen,Neha  Dhupia
84,FryDay,Abhishek Dogra,Govinda Varun  Sharma,"Comedy, Drama",Govinda,Digangana  Suryavanshi,Varun  Sharma
85,Tumbbad,Rahi Anil Barve,Soham  Shah Harish  Khanna Anita  Date,"Drama, Fantasy, Horror, Thriller",Soham  Shah,Harish  Khanna,Anita  Date
86,Namaste England,Vipul Shah,Arjun  Kapoor Parineeti  Chopra Aditya  Seal Alankrita  Sahai Anil  Mange Satish  Kaushik,"Comedy, Drama, Romance",Arjun  Kapoor,Parineeti  Chopra,Aditya  Seal
87,Badhaai Ho,Amit Ravindernath Sharma,Ayushman  Khurrana Neena  Gupta Gajraj  Rao Surekha  Sikri Sanya  Malhotra,"Comedy, Drama",Ayushman  Khurrana,Neena  Gupta,Gajraj  Rao
88,Baazaar,Gauravv K. Chawla,Saif  Ali  Khan Radhika  Apte Chitrangada  Singh Denzil  Smith Rohan  Mehra Sonia  Balani,"Crime, Drama, Thriller",Saif  Ali  Khan,Radhika  Apte,Chitrangada  Singh
89,5 Weddings,Namrata Singh Gujral,Rajkummar  Rao Nargis  Fakhri Bo  Derek Candy  Clark Anneliese van der  Pol Suvinder  Vicky,"Comedy, Drama, Romance",Rajkummar  Rao,Nargis  Fakhri, 
90,Kaashi in Search of Ganga,Dhiraj Kumar,Sharman  Joshi Aishwarya  Devan Govind  Namdev Manoj  Joshi Manoj  Pahwa Akhilendra  Mishra,Thriller,Sharman  Joshi,Aishwarya  Devan,
91,Dassehra,Manish Vatsalya,Neil  Nitin  Mukesh Tina  Desai Govind  Namdev,"Action, Thriller",Neil  Nitin  Mukesh,Tina  Desai,Govind  Namdev
92,Thugs of Hindostan,Vijay Krishna Acharya,Amitabh  Bachchan Aamir  Khan Fatima  Sana  Shaikh Katrina  Kaif Mohammed  Zeeshan  Ayyub,"Action, Adventure",Amitabh  Bachchan,Aamir  Khan,Fatima  Sana  Shaikh
93,Mohalla Assi,Chandraprakash Dwivedi,Sunny  Deol Sakshi  Tanwar Ravi  Kishan Saurabh  Shukla Mukesh  Tiwari Rajendra  Gupta Mithilesh  Chaturvedi,"Comedy, Drama",Sunny  Deol,Sakshi  Tanwar,Ravi  Kishan
94,Pihu,Vinod Kapri,Myra  Vishwakarma Prerna  Sharma,"Drama, Thriller",Myra  Vishwakarma,Prerna  Sharma,
95,Hotel Milan,Vishal Mishra,Kunaal  Roy  Kapur Karishma  Sharma Zeishan  Quadri Jaideep  Ahlawat Rajesh  Sharma Zakir  Hussain,"Comedy, Drama",Kunaal  Roy  Kapur,Karishma  Sharma,Zeishan  Quadri 
96,Tigers,Danis Tanović,Emraan  Hashmi Khalid  Abdalla Geetanjali  Thapa Supriya  Pathak,Drama,Emraan  Hashmi,Khalid  Abdalla,Geetanjali  Thapa
97,Bhaiaji Superhit,Neerraj Pathak,Sunny  Deol Preity  Zinta Ameesha  Patel Arshad  Warsi Shreyas  Talpade Evelyn  Sharma,Comedy,Sunny  Deol,Preity  Zinta,Arshad Warsi
98,2,S Shankar,Rajnikanth Amy  Jackson Akshay  Kumar Adil  Hussain Sudhanshu  Pandey,"Action, Sci-Fi",Rajnikanth,Amy  Jackson,Akshay  Kumar
99,Rajma Chawal,Leena Yadav,Rishi  Kapoor Anirudh  Tanwar Amyra  Dastur,"Comedy, Drama, Family",Rishi  Kapoor,Anirudh  Tanwar,Amyra  Dastur
100,Kedarnath,Abhishek Kapoor,Sushant  Singh  Rajput Sara  Ali  Khan,"Drama, Romance",Sushant  Singh  Rajput,Sara  Ali  Khan,
101,Ascharyachakit!,Samit Kakkad,Priyanka  Bose Vaibhav  Raj  Gupta Ankit  Raaj Anangsha  Biswas Santosh  Juvekar,"Drama, Romance",Priyanka  Bose,Vaibhav  Raj  Gupta,Ankit  Raaj
102,Zero,Aanand L. Rai,Shah  Rukh  Khan Katrina  Kaif Anushka  Sharma Tigmanshu  Dhulia,"Comedy, Drama, Romance",Shah  Rukh  Khan,Katrina  Kaif,Anushka  Sharma
103,Simmba,Rohit Shetty,Ranveer  Singh Sara  Ali  Khan Sonu  Sood,"Action, Comedy, Drama",Ranveer Singh,Sara  Ali  Khan,Sonu Sood
