,movie_title,director_name,Cast and crew,genres,actor_1_name,actor_2_name,actor_3_name
28,O Pushpa I Hate Tears,Dinkar Kapoor,Krushna  Abhishek Karthik  Jayaram Arjumman  Mughal,"Comedy, Thriller",Krushna  Abhishek,Karthik  Jayaram,Arjumman  Mughal
29,Thappad,Anubhav Sinha,Taapsee  Pannu Pavail  Gulati Maya  Sarao Naila  Grewal,Drama,Taapsee  Pannu,Pavail  Gulati,Maya  Sarao
30,Dheet Patangey,Ravi Adhikari,Shivin  Narang Chandan  Roy  Sanyal Ali  Murad Hardik  Sanghani Tillotama  Shome Priya  Banerjee,"Drama, Romance, Sport",Shivin  Narang,Chandan  Roy,Sanyal Ali
31,Baaghi 3,Ahmed Khan,Tiger  Shroff Riteish  Deshmukh Shraddha  Kapoor Ankita  Lokhande,"Action, Thriller",Tiger  Shroff,Riteish  Deshmukh,Shraddha  Kapoor
32,Guilty,Ruchi Narain,Kiara  Advani Akansha  Ranjan  Kapoor Gurfateh  Singh  Pirzada Taher  Shabbir Dalip  Tahil Kunal  Vijaykar Manu  Rishi Janya  Joshi Chayan  Chopra,"Drama, Thriller",Kiara  Advani,Akansha  Ranjan  Kapoor,Gurfateh  Singh
33,Kaamyaab,Hardik Mehta,Sanjay  Mishra Deepak  Dobriyal,Action,Sanjay  Mishra,Deepak  Dobriyal,
34,Angrezi Medium,Homi Adajania,Irrfan  Khan Kareena  Kapoor Radhika  Madan Deepak  Dobriyal Pankaj  Tripathi,"Comedy, Drama",Irrfan  Khan,Radhika  Madan,Deepak  Dobriyal
35,Maska,Neeraj Udhwani,Manisha  Koirala Nikita  Dutta Javed  Jaffrey Prit  Kamani Shirley  Setia,"Comedy, Drama, Romance",Manisha  Koirala,Nikita  Dutta,Prit  Kamani
36,Bamfaad,Ranjan Chandel,Aditya  Rawal Shalini  Pandey Vijay  Varma,Romance,Aditya  Rawal,Shalini  Pandey,Vijay  Varma
37,Ateet,Tanuj Bhramar,Priyamani Sanjay  Suri Rajeev  Khandelwal,Thriller,Priyamani,Sanjay  Suri,Rajeev  Khandelwal
38,Mrs. Serial Killer,Shirish Kunder,Jacqueline  Fernandez Manoj  Bajpayee Mohit  Raina Zayn  Marie,"Crime, Drama, Thriller",Jacqueline  Fernandez,Manoj  Bajpayee,Mohit  Raina
39,What Are the Odds,Megha Ramaswamy,Yashaswini  Dayama Karanvir  Malhotra Abhay  Deol,"Comedy, Short",Yashaswini  Dayama,Karanvir  Malhotra,Abhay  Deol
40,Ghoomketu,Pushpendra Nath Misra,Nawazuddin  Siddiqui Ragini  Khanna Richa  Chadha Anurag  Kashyap Deepika  Amin Raghuvir  Yadav Ila  Arun Swanand  Kirkire,Comedy,Nawazuddin  Siddiqui,Ragini  Khanna,Richa  Chadha
41,Chippa,Safdar Rehman,Sunny  Pawar Joyraj  Bhattacharya Sumeet  Thakur Gautam  Sarkar Masood  Akhtar Kalpan  Mitra,Drama,Sunny  Pawar,Joyraj  Bhattacharya,Sumeet  Thakur
42,Chintu Ka Birthday,Devanshu KumarSatyanshu Singh,Vinay  Pathak Tillotama  Shome Nate  Scholz,"Drama, War",Vinay  Pathak,Tillotama  Shome,Nate  Scholz
43,Choked,Anurag Kashyap,Saiyami  Kher Roshan  Mathew Amruta  Subhash Rajshri  Deshpande,Drama,Saiyami  Kher,Roshan  Mathew,Amruta  Subhash
44,Axone,Nicholas Kharkongor,Dolly  Ahluwalia Sayani  Gupta Tenzin  Dalha Vinay  Pathak Lin  Laishram Asenla  Jamir Lanuakum  Ao,"Comedy, Drama",Dolly  Ahluwalia,Sayani  Gupta,Tenzin  Dalha
45,Gulabo Sitabo,Shoojit Sircar,Farrukh  Jaffar Amitabh  Bachchan Ayushmann  Khurrana Vijay  Raaz Brijendra  Kala Nalneesh  Neel,"Comedy, Drama",Farrukh  Jaffar, Amitabh  Bachchan,Ayushmann  Khurrana
46,Kadakh,Rajat Kapoor,Kalki  Koechlin Ranvir  Shorey Shruti  Seth Manoj  Pahwa Tara  Sharma Cyrus  Sahukar Mansi  Multani,"Comedy, Drama, Thriller",Kalki  Koechlin,Ranvir  Shorey,Shruti  Seth
47,Chaman Bahaar,Apurva Dhar Badgaiyann,Jitendra  Kumar Ritika  Badiani,"Comedy, Drama",Jitendra  Kumar,Ritika  Badiani,
48,Bulbbul,Anvita Dutt,Tripti  Dimri Avinash  Tiwary Rahul  Bose Parambrata  Chatterjee Paoli  Dam,"Drama, Horror, Mystery",Tripti  Dimri,Avinash  Tiwary,Rahul  Bose
49,Bhonsle,Devashish Makhija,Manoj  Bajpayee Santosh  Juvekar Ipshita  Chakraborty  Singh Abhishek  Banerjee,Drama,Manoj  Bajpayee,Santosh  Juvekar,Ipshita  Chakraborty  Singh
50,Unlock,Debatma Mandal,Kushal  Tandon Hina  Khan Rishabh  Sinha Aditi  Arya,"Animation, Short, Biography",Kushal  Tandon,Hina  Khan,Rishabh  Sinha
51,Virgin Bhanupriya,Ajay Lohan,Urvashi  Rautela Gautam  Gulati,"Comedy, Drama",Urvashi  Rautela,Gautam  Gulati,
52,Dil Bechara,Mukesh Chhabra,Sushant  Singh  Rajput Sanjana  Sanghi Saif  Ali  Khan,"Comedy, Drama, Romance",Sushant  Singh  Rajput,Sanjana  Sanghi,Swastika Mukherjee
53,Yaara,Tigmanshu Dhulia,Vidyut  Jammwal Shruti  Haasan Amit  Sadh Vijay  Varma Kenny  Basumatary,"Action, Crime, Drama",Vidyut  Jammwal,Shruti  Haasan,Amit  Sadh
54,Shakuntala Devi,Anu Menon,Vidya  Balan Jisshu  Sengupta Sanya  Malhotra Amit  Sadh,Drama,Vidya  Balan,Jisshu  Sengupta,Sanya  Malhotra
55,Lootcase,Rajesh Krishnan,Kunal  Khemu Rasika  Dugal Vijay  Raaz Ranvir  Shorey Gajraj  Rao Aryan  Prajapati Shashi  Ranjan Sumit  Nijhawan,"Comedy, Crime",Kunal  Khemu,Rasika  Dugal,Gajraj  Rao
56,Raat Akeli Hai,Honey Trehan,Nawazuddin  Siddiqui Radhika  Apte Shweta  Tripathi Ila  Arun Shivani  Raghuvanshi Aditya  Srivastava Tigmanshu  Dhulia Swanand  Kirkire,"Crime, Drama, Mystery, Thriller",Nawazuddin  Siddiqui,Radhika  Apte,Shweta  Tripathi
57,Pareeksha,Prakash Jha,Adil  Hussain Priyanka  Bose Sanjay  Suri,Drama,Adil  Hussain,Priyanka  Bose,Sanjay  Suri
58,Gunjan Saxena: The Kargil Girl,Sharan Sharma,Janhvi  Kapoor Pankaj  Tripathi Angad  Bedi Vineet  Kumar  Singh Manav  Vij,"Action, Biography, Drama, War",Janhvi  Kapoor,Pankaj  Tripathi,Angad  Bedi
59,Khuda Haafiz,Faruk Kabir,Vidyut  Jammwal Shivaleeka  Oberoi Annu  Kapoor Shiv  Panditt Aahana  Kumra,"Action, Drama, Thriller",Vidyut  Jammwal,Shivaleeka  Oberoi,Annu  Kapoor
60,Mee Raqsam,Baba Azmi,Naseeruddin  Shah Danish  Husain Aditi  Subedi Shradha  Kaul Rakesh  Chaturvedi,Drama,Naseeruddin  Shah,Danish  Husain,Aditi  Subedi
61,Class of '83,Atul Sabharwal,Bobby  Deol Bhupendra  Jadawat Hitesh  Bhojraj Anup  Soni Joy  Sengupta Sameer  Paranjape Ninad  Mahajani Prithvik  Pratap,"Action, Crime, Drama, Thriller",Bobby  Deol,Bhupendra  Jadawat,Hitesh  Bhojraj
62,Sadak 2,Mahesh Bhatt,Sanjay  Dutt Pooja  Bhatt Alia  Bhatt Aditya  Roy  Kapur,"Action, Drama",Sanjay  Dutt,Alia  Bhatt,Aditya  Roy  Kapur
63,Ram Singh Charlie,Nitin Kakkar,Kumud  Mishra Divya  Dutta Akarsh  Khurana Farrukh  Seyer Salima  Raza Rohit  Rokhade,Drama,Kumud  Mishra,Divya  Dutta,Akarsh  Khurana
64,Atkan Chatkan,Shiv Hare,Sachin  Chaudhary Yash  Rane Tamanna  Dipak,"Drama, Musical",Sachin  Chaudhary,Yash  Rane,Tamanna
65,Cargo,Arati Kadav,Vikrant  Massey Shweta  Tripathi,"Drama, Horror, Sci-Fi, Thriller",Vikrant  Massey,Shweta  Tripathi,
66,Dolly Kitty Aur Woh Chamakte Sitare,Alankrita Shrivastava,Konkona  Sen  Sharma Bhumi  Pednekar Amol  Parashar Aamir  Bashir Kubbra  Sait Karan  Kundra Vikrant  Massey Mushtaq  Khan,"Drama, Romance",Konkona  Sen  Sharma,Bhumi  Pednekar,Vikrant  Massey
67,London Confidential,Kanwal Sethi,Mouni  Roy Purab  Kohli Kulraj  Randhawa Sagar  Arya Parvesh  Rana Jas  Binag Diljohn  Singh Kiren  Jog,Comedy,Mouni  Roy,Purab  Kohli,Kulraj  Randhawa
68,Halahal,Randeep Jha,Sachin  Khedekar Barun  Sobti,"Crime, Mystery, Thriller",Sachin  Khedekar,Barun  Sobti,
70,Khaali Peeli,Maqbool Khan,Ishaan  Khatter Ananya  Panday Jaideep  Ahlawat,"Action, Comedy, Romance",Ishaan  Khatter,Ananya  Panday,Jaideep  Ahlawat
71,Serious Men,Sudhir Mishra,Nawazuddin  Siddiqui Aakshath  Das Shweta  Basu  Prasad Nassar Indira  Tiwari,"Comedy, Drama",Nawazuddin  Siddiqui,Aakshath  Das,Shweta  Basu  Prasad
72,Bahut Hua Samman,Ashish R Shukla,Raghav  Juyal Abhishek  Chauhan Sanjay  Mishra Ram  Kapoor Nidhi  Singh Namit  Das Flora  Saini,"Comedy, Drama",Raghav  Juyal,Abhishek  Chauhan,Sanjay  Mishra
73,Ginny Weds Sunny,Puneet Khanna,Yami  Gautam Vikrant  Massey,"Comedy, Romance",Yami  Gautam,Vikrant  Massey,
74,The Pickup Artist,Rohit Arora,Dev  Chauhan Pankaj  Uniyal,Reality-TV,Dev  Chauhan,Pankaj  Uniyal,
75,Comedy Couple,Nachiket Samant,Saqib  Saleem Shweta  Basu  Prasad,"Comedy, Romance",Saqib  Saleem,Shweta  Basu  Prasad,
76,Kasaai,Gajendra Shrotriya,Mita  Vasisht Mayur  More Amit  Bimrot,Drama,Mita  Vasisht,Mayur  More,Amit  Bimrot
77,Taish,Bejoy Nambiar,Pulkit  Samrat Kriti  Kharbanda Jim  Sarbh Harshvardhan  Rane Zoa  Morani Sanjeeda  Sheikh Abhimanyu  Singh Ankur  Rathee,"Action, Thriller",Pulkit  Samrat,Kriti  Kharbanda,Jim  Sarbh
78,Kaali Khuhi,Terrie Samundra,Shabana  Azmi Satyadeep  Mishra Riva  Arora Sanjeeda  Sheikh,"Drama, Horror, Mystery, Thriller",Shabana  Azmi,Satyadeep  Mishra,Sanjeeda  Sheikh
79,Pepper Chicken,Ratan Sil Ram,Dipannita  Sharma Boloram  Das Baharul  Islam Ravi  Sarma Monuj  Borkotoky,Thriller,Dipannita  Sharma,Boloram  Das,Baharul  Islam
80,Laxmii,Raghava Lawrence,Akshay  Kumar Kiara  Advani,"Action, Comedy, Horror",Akshay  Kumar,Kiara  Advani,
81,Ludo,Anurag Basu,Abhishek  Bachchan Rajkummar  Rao Aditya  Roy  Kapur Fatima  Sana  Shaikh Sanya  Malhotra Pankaj  Tripathi Rohit  Suresh  Saraf Pearle  Maaney Asha  Negi Inayat  Verma Shalini  Vats,"Action, Comedy, Crime, Drama",Abhishek  Bachchan,Rajkummar  Rao,Pankaj  Tripathi
82,Chhalaang,Hansal Mehta,Rajkummar  Rao Nushrat  Bharucha,"Comedy, Drama",Rajkummar  Rao,Nushrat  Bharucha,
83,Namumkin Tere Bin Jeena,Hidayat Khan,Anmol  Chopra Christeena Biju  Rehana  Khan,Romance,Anmol  Chopra,Christeena Biju,Rehana  Khan
84,Sir,Rohena Gera,Tillotama  Shome Vivek  Gomber,"Drama, Romance",Tillotama  Shome,Vivek  Gomber,
85,Suraj Pe Mangal Bhari,Abhishek Sharma,Manoj  Bajpayee Diljit  Dosanjh Fatima  Sana  Shaikh,Comedy,Manoj  Bajpayee,Diljit  Dosanjh,Fatima  Sana  Shaikh
86,Anwar Ka Ajab Kissa,Buddhadeb Dasgupta,Nawazuddin  Siddiqui Ananya  Chatterjee Pankaj  Tripathi Niharika  Singh,Drama,Nawazuddin  Siddiqui,Ananya  Chatterjee,Pankaj  Tripathi
87,Darbaan,Bipin Nadkarni,Sharib  Hashmi Sharad  Kelkar Flora  Saini Rasika  Dugal,Drama,Sharib  Hashmi,Sharad  Kelkar,Flora  Saini
88,Durgamati,G. Ashok,Bhumi  Pednekar Arshad  Warsi Jisshu  Sengupta Mahie  Gill Karan  Kapadia,"Horror, Thriller",Bhumi  Pednekar,Arshad  Warsi,Jisshu  Sengupta
89,Indoo Ki Jawani,Abir Sengupta,Kiara  Advani Aditya  Seal,Drama,Kiara  Advani,Aditya  Seal,
90,Nirvana Inn,Vijay Jayapal,Adil  Hussain Rajshri  Deshpande Sandhya  Mridul,Mystery,Adil  Hussain,Rajshri  Deshpande,Sandhya  Mridul
91,Torbaaz,Girish Malik,Sanjay  Dutt Nargis  Fakhri Rahul  Dev Gavie  Chahal Rahul  Mittra Pransh  Chopra,"Action, Drama, Sport, Thriller",Sanjay  Dutt,Nargis  Fakhri,Rahul  Dev
92,Eeb Allay Ooo!,Prateek Vats,Shardul  Bharadwaj Mahender  Nath Nutan  Sinha Shashi  Bhushan Naina  Sareen,"Comedy, Drama",Shardul  Bharadwaj,Mahender  Nath,Nutan  Sinha
93,Sayonee,Nitin Kumar GuptaAbhay Singhal,Tanmay  Ssingh Musskan  Sethi Rahul  Roy Yograj  Singh Upasana  Singh,"Action, Musical, Romance, Thriller",Tanmay  Ssingh,Musskan  Sethi,Rahul  Roy
94,Omprakash Zindabad,Ranjeet Gupta,Kulbhushan  Kharbanda Jagdeep Shweta  Bhardwaj Seema  Azmi Abhay  Joshi Ishtiyak  Khan Zakir  Hussain Om  Puri,Drama,Kulbhushan  Kharbanda,Shweta  Bhardwaj,Om Puri
95,Unpaused,Raj & D.KNitya MehraNikkhil AdvaniTannishtha ChatterjeeAvinash Arun,Gulshan  Devaiah Sumeet  Vyas Saiyami  Kher Richa  Chadda Abhishek  Banerjee Ratna  Pathak  Shah Ishwak  Singh,"Drama, Romance",Gulshan  Devaiah,Sumeet  Vyas,Richa  Chadha
96,AK vs AK,Vikramaditya Motwane,Anil  Kapoor Anurag  Kashyap,"Comedy, Drama, Thriller",Anil  Kapoor,Anurag  Kashyap,Sonam Kapoor
97,Coolie No. 1,David Dhawan,Varun  Dhawan Sara  Ali  Khan,Comedy,Varun  Dhawan,Sara  Ali  Khan,Javed Jaffery
98,Shakeela,Indrajit Lankesh,Richa  Chadda Pankaj  Tripathi Rajeev  Pillai,"Biography, Drama",Richa  Chadda,Pankaj  Tripathi,Rajeev  Pillai
