,movie_title,director_name,Cast and crew,genres,actor_1_name,actor_2_name,actor_3_name
0,Ghost Stories,Karan JoharDibakar BanerjeeZoya AkhtarAnurag Kashyap,Sobhita  Dhulipala Mrunal  Thakur Avinash  Tiwary Janhvi  Kapoor Surekha  Sikri Raghuvir  Yadav Gulshan  Devaiah Vijay  Varma Pavail  Gulati Jyoti  Subhash Eva  Ameet  Pardeshi Kitu  Gidwani Sumit  Tandon,"Drama, Horror",Sobhita  Dhulipala,Mrunal  Thakur,Gulshan  Devaiah 
1,Bhangra Paa Le,Sneha Taurani,Sunny  Kaushal Rukshar  Dhillon Shriya  Pilgaonkar,"Comedy, Drama, Music",Sunny  Kaushal,Rukshar  Dhillon,Shriya  Pilgaonkar
2,Sab Kushal Mangal,Karan Vishwanath Kashyap,Akshaye  Khanna Riva  Kishan Priyank  Sharma,Romance,Akshaye  Khanna,Riva  Kishan,Priyank  Sharma
3,Shimla Mirchi,Ramesh Sippy,Hema  Malini Rajkummar  Rao Rakul  Preet  Singh,"Comedy, Romance",Hema  Malini,Rajkummar  Rao,Rakul  Preet  Singh
4,Chhapaak,Meghna Gulzar,Deepika  Padukone Vikrant  Massey,"Biography, Drama",Deepika  Padukone,Vikrant  Massey,
5,Tanhaji,Om Raut,Ajay  Devgn Saif  Ali  Khan Kajol Sharad  Kelkar,"Action, Biography, Drama, History",Ajay  Devgn,Saif  Ali  Khan,Sharad  Kelkar
6,Bunker,Jugal Raja,Abhijeet  Singh Arindita  Kalita,"Drama, War",Abhijeet  Singh,Arindita  Kalita,
7,Jai Mummy Di,Navjot Gulati,Sunny  Singh Sonnalli  Seygall Poonam  Dhillon Supriya  Pathak,"Comedy, Drama, Romance",Sunny  Singh,Sonnalli  Seygall,Poonam  Dhillon
8,Panga,Ashwiny Iyer Tiwari,Kangana  Ranaut Jassi  Gill Richa  Chadha Neena  Gupta,"Drama, Sport",Kangana  Ranaut,Jassi  Gill,Richa  Chadha
9,Street Dancer 3D,Remo D'Souza,Varun  Dhawan Shraddha  Kapoor Prabhu  Deva Nora  Fatehi Aparshakti  Khurana Murali  Sharma Raghav  Juyal Dharmesh  Yelande Punit  Pathak Jigar  Rupareliya Sonam  Bajwa,"Drama, Music",Varun  Dhawan,Shraddha  Kapoor,Prabhu  Deva
10,Gul Makai,H.E. Amjad khan,Reem  Shaikh Atul  Kulkarni Divya  Dutta Om  Puri Arif  Zakaria Mukesh  Rishi Abhimanyu  Singh Pankaj  Tripathi,"Biography, Drama, War",Reem  Shaikh,Atul  Kulkarni,Divya  Dutta
11,Happy Hardy and Heer,Raka,Himesh  Reshammiya Sonia  Mann,"Comedy, Romance",Himesh  Reshammiya,Sonia  Mann,
12,Jawaani Jaaneman,Nitin Kakkar,Saif  Ali  Khan Tabu Alaya  Furniturewala,"Comedy, Drama",Saif  Ali  Khan,Tabu,Alaya  Furniturewala
13,Pagleaazam,"Vikas P Kavvthekaar, Aps Raghuvanshi",Aditya  Pratap  Singh Mandeep  Kaur  Mannnat Sonia  Sharma Liliput Faruque Ravi  Mann Abhinaye  Sharma Sahil  Patel Amber  Upadhyay,Comedy,Aditya  Pratap  Singh,Mandeep  Kaur,Sonia  Sharma
14,Operation Parindey,Sanjay Gadhvi,Amit  Sadh Rahul  Dev Aakash  Dahiya Rucha  Inamdar,"Action, Drama, Thriller",Amit  Sadh,Rahul  Dev,Aakash  Dahiya
15,Hacked,Vikram Bhatt,Hina  Khan Rohan  Shah Mohit  Malhotra Sid  Makkar,Thriller,Hina  Khan,Rohan  Shah,Mohit  Malhotra
16,Kaanchli Life in a Slough,Dedipya Joshii,Sanjay  Mishra Shikha  Malhotra,Drama,Sanjay  Mishra,Shikha  Malhotra,
17,Malang,Mohit Suri,Aditya  Roy  Kapur Disha  Patani Anil  Kapoor Elli  Avr Ram Amruta  Khanvilkar,"Action, Crime, Drama, Romance, Thriller",Aditya  Roy  Kapur,Disha  Patani,Kunal Khemu
18,Shikara,Vidhu Vinod Chopra,Aadil  Khan Sadia  Khateeb,"Drama, Romance",Aadil  Khan,Sadia  Khateeb,
19,Love Aaj Kal,Imtiaz Ali,Kartik  Aaryan Sara  Ali  Khan Randeep  Hooda,"Drama, Romance",Kartik  Aaryan,Sara  Ali  Khan,Randeep  Hooda
20,Shukranu,Bishnu Dev Halder,Divyenndu Shweta  Basu  Prasad Sheetal  Thakur,Drama,Divyenndu,Shweta  Basu  Prasad,Sheetal  Thakur
21,Bhoot – Part One: The Haunted Ship,Bhanu Pratap Singh,Vicky  Kaushal Bhumi  Pednekar,"Horror, Mystery, Thriller",Vicky  Kaushal,Bhumi  Pednekar,
22,The Hundred Bucks,Dushyant Pratap Singh,Kavita  Tripathi Dinesh  Bawra Jaid  Shaikh,Drama,Kavita  Tripathi,Dinesh  Bawra,Jaid  Shaikh
23,Shubh Mangal Zyada Saavdhan,Hitesh Kewalya,Ayushmann  Khurrana Jitendra  Kumar Gajraj  Rao Neena  Gupta Manurishi  Chaddha Sunita  Rajwar Maanvi  Gagroo Pankhuri  Awasthy Neeraj  Singh,"Comedy, Romance",Ayushmann  Khurrana,Jitendra  Kumar,Gajraj  Rao
24,Yeh Ballet,Sooni Taraporevala,Julian  Sands Achintya  Bose Manish  Chauhan,Drama,Julian  Sands,Achintya  Bose,Manish  Chauhan
25,Doordarshan,Gagan Puri,Mahie  Gill Manu  Rishi  Chaddha Dolly  Ahluwalia Supriya  Shukla Rajesh  Sharma Mehak  Manwani Sumit  Gulati,"Comedy, Drama",Mahie  Gill,Manu  Rishi  Chaddha,Dolly  Ahluwalia
26,Guns of Banaras,Sekhar Suri,Karan  Nath Nathalia  Kaur Abhimanyu  Singh Ganesh  Venkatraman Shilpa  Shirodkar Zarina  Wahab Mohan  Agashe Tej  Sapru,Action,Karan  Nath,Nathalia  Kaur,Abhimanyu  Singh
27,Haunted Hills,Sanjeev Kumar Rajput,Zuber  K.  Khan Diana  Khan,Horror,Zuber  K.  Khan,Diana  Khan,
