,movie_title,director_name,Cast and crew,genres,actor_1_name,actor_2_name,actor_3_name
97,Housefull 4,Farhad Samji,Akshay  Kumar Ritesh  Deshmukh Bobby  Deol Kriti  Sanon Kriti  Kharbanda Pooja  Hegde Chunky  Pandey Ranjeet Rana  Daggubati,"Action, Comedy, Fantasy, Romance",Akshay  Kumar,Ritesh  Deshmukh,Bobby  Deol
98,Kanpuriye,Ashish Aryan,Aparshakti  Khurana Divyenndu Harsh  Mayar Vijay  Raaz Rajshri  Deshpande Harshita  Gaur,Drama,Aparshakti  Khurana ,Vijay  Raaz,Rajshri  Deshpande
99,Made in China,Mikhil Musale,Rajkummar  Rao Mouni  Roy Boman  Irani Gajraj  Rao Sumeet  Vyas Amyra  Dastur Paresh  Rawal,"Action, Comedy, Fantasy",Rajkummar  Rao,Mouni  Roy,Boman  Irani
100,Saand Ki Aankh,Tushar Hiranandani,Bhumi  Pednekar Taapsee  Pannu Prakash  Jha Vineet  Kumar  Singh,"Biography, Drama",Bhumi  Pednekar,Taapsee  Pannu,Vineet  Kumar  Singh
101,Drive,Tarun Mansukhani,Sushant  Singh  Rajput Jacqueline  Fernandez Vikramjeet  Virk Sapna  Pabbi Boman  Irani Pankaj  Tripathi,"Crime, Drama",Sushant  Singh  Rajput,Jacqueline  Fernandez,Boman  Irani
102,Ujda Chaman,Abhishek Pathak,Sunny  Singh Maanvi  Gagroo Karishma  Sharma Aishwarya  Sakhuja,Comedy,Sunny  Singh,Maanvi  Gagroo,Karishma  Sharma
103,Bala,Amar Kaushik,Ayushmann  Khurrana Bhumi  Pednekar Yami  Gautam Saurabh  Shukla Javed  Jaffrey Seema  Pahwa,Comedy,Ayushmann  Khurrana,Bhumi  Pednekar,Yami  Gautam
104,Bypass Road,Naman Nitin Mukesh,Neil  Nitin  Mukesh Adah  Sharma Shama  Sikander Gul  Panag Rajit  Kapur Sudhanshu  Pandey,Drama,Neil  Nitin  Mukesh,Adah  Sharma,Shama  Sikander
105,Moothon[c],Geetu Mohandas,Nivin  Pauly Sanjana  Dipu Shashank  Arora Sobhita  Dhulipala Dileesh  Pothan Jim  Sarbh Roshan  Mathew,Drama,Nivin  Pauly,Sanjana  Dipu,Shashank  Arora
106,Satellite Shankar,Irfan Kamal,Sooraj  Pancholi Megha  Akash,Drama,Sooraj  Pancholi,Megha  Akash,
107,Jhalki,Brahmanand S. Siingh,Boman  Irani Tannishtha  Chatterjee Divya  Dutta Sanjay  Suri Yatin  Karyekar Akhilendra  Mishra Govind  Namdev Joy  Sengupta,Drama,Boman  Irani,Tannishtha  Chatterjee,Divya  Dutta
108,House Arrest,Shashanka Ghosh and Samit Basu,Ali  Fazal Shriya  Pilgaonkar Jim  Sarbh,Comedy,Ali  Fazal,Shriya  Pilgaonkar,Jim  Sarbh
109,Keep Safe Distance,Raama Mehra,Kiran  Kumar Shahbaz  Khan,Drama,Kiran  Kumar,Shahbaz  Khan,
110,Marjaavaan,Milap Milan Zaveri,Ritesh  Deshmukh Sidharth  Malhotra Tara  Sutaria Rakul  Preet  Singh,"Action, Comedy, Drama",Ritesh  Deshmukh,Sidharth  Malhotra,Tara  Sutaria
111,Motichoor Chaknachoor,Debamitra Biswal,Nawazuddin  Siddiqui Athiya  Shetty,"Comedy, Drama",Nawazuddin  Siddiqui,Athiya  Shetty,
112,Marne Bhi Do Yaaron,Kashmira Shah,Krishna  Abhishek Kashmira  Shah Rishaab  Chauhaan,Comedy,Krishna  Abhishek,Kashmira  Shah,Rishaab  Chauhaan
113,Pagalpanti,Anees Bazmee,Anil  Kapoor John  Abraham Ileana  D' Cruz Arshad  Warsi Pulkit  Samrat Kriti  Kharbanda Urvashi  Rautela Saurabh  Shukla,Comedy,Anil  Kapoor ,John  Abraham,Arshad Warsi
114,Commando 3,Aditya Datt,Vidyut  Jammwal Adah  Sharma Angira  Dhar Gulshan  Devaiah,"Action, Adventure",Vidyut  Jammwal,Adah  Sharma,Gulshan  Devaiah
115,Yeh Saali Aashiqui,Cherag Ruparel,Vardhan  Puri Shivaleeka  Oberoi,"Drama, Romance",Vardhan  Puri,Shivaleeka  Oberoi,
116,Hotel Mumbai,Anthony Maras,Anupam  Kher Dev  Patel Vipin  Sharma Suhail  Nayyar Nazanin  Boniadi Jason  Isaacs,Drama,Anupam  Kher,Dev  Patel,Vipin  Sharma
117,Line of Descent[d],Rohit Karn Batra,Brendan  Fraser Abhay  Deol Ronit  Roy Neeraj  Kabi Prem  Chopra Ali  Haji,Drama,Brendan  Fraser,Abhay  Deol,Ronit  Roy
118,Panipat,Ashutosh Gowariker,Sanjay  Dutt Arjun  Kapoor Kriti  Sanon Mohnish  Bahl,"Biography, Drama",Sanjay  Dutt,Arjun  Kapoor,Kriti  Sanon
119,Pati Patni Aur Woh,Mudassar Aziz,Kartik  Aaryan Bhumi  Pednekar Ananya  Panday,"Comedy, Drama",Kartik  Aaryan,Bhumi  Pednekar,Ananya  Panday
120,Mardaani 2,Gopi Puthran,Rani  Mukerji Vikram  Singh  Chauhan Shruti  Bapna Rajesh  Sharma Sudhanshu  Pandey,"Drama, Mystery",Rani  Mukerji,Vikram  Singh  Chauhan,Shruti  Bapna
121,The Body,Jeethu Joseph,Emraan  Hashmi Rishi  Kapoor Vedhika Sobhita  Dhulipala,"Drama, Mystery",Emraan  Hashmi,Rishi  Kapoor,Vedhika
122,Dabangg 3,Prabhu Deva,Salman  Khan Sonakshi  Sinha Sudeep Saiee  Manjrekar Arbaaz  Khan,"Action, Comedy",Salman  Khan,Sonakshi  Sinha,Sudeep
123,Happi,Bhavna Talwar,Pankaj  Kapoor Supriya  Pathak Hrishitaa  Bhatt,Drama,Pankaj  Kapoor, Supriya  Pathak,Hrishitaa  Bhatt
124,Good Newwz,Raj Mehta,Akshay  Kumar Kareena  Kapoor Diljit  Dosanjh Kiara  Advani,"Comedy, Drama",Akshay  Kumar, Kareena  Kapoor, Diljit  Dosanjh
